fact_id,fact_class,normal_nll,knockout_nll,delta_knockout_minus_normal,normal_em,knockout_em
fact_000000,negative_control,9.744585037231445,9.813440322875977,0.06885528564453125,0,0
fact_000001,negative_control,11.455822944641113,11.507136344909668,0.05131340026855469,0,0
fact_000002,negative_control,12.228337287902832,12.226893424987793,-0.0014438629150390625,0,0
fact_000003,negative_control,10.1338529586792,9.937455177307129,-0.1963977813720703,0,0
fact_000004,negative_control,9.705577850341797,9.688321113586426,-0.017256736755371094,0,0
fact_000005,negative_control,12.452164649963379,12.517450332641602,0.06528568267822266,0,0
fact_000006,negative_control,13.081603050231934,13.130123138427734,0.04852008819580078,0,0
fact_000007,negative_control,10.206488609313965,10.227507591247559,0.02101898193359375,0,0
fact_000008,negative_control,11.86461067199707,11.982390403747559,0.11777973175048828,0,0
fact_000009,negative_control,9.830300331115723,9.870473861694336,0.04017353057861328,0,0
fact_000010,negative_control,11.83596420288086,11.843631744384766,0.00766754150390625,0,0
fact_000011,negative_control,11.281375885009766,11.375666618347168,0.09429073333740234,0,0
fact_000012,negative_control,11.26241397857666,11.29107666015625,0.028662681579589844,0,0
fact_000013,negative_control,12.80306625366211,12.805587768554688,0.002521514892578125,0,0
fact_000014,negative_control,9.97518253326416,10.026605606079102,0.051423072814941406,0,0
fact_000015,negative_control,12.680277824401855,12.595373153686523,-0.08490467071533203,0,0
fact_000016,negative_control,15.563178062438965,15.525647163391113,-0.03753089904785156,0,0
fact_000017,negative_control,12.511005401611328,12.440308570861816,-0.07069683074951172,0,0
fact_000018,negative_control,15.258928298950195,15.150620460510254,-0.1083078384399414,0,0
fact_000019,negative_control,12.64495849609375,12.652305603027344,0.00734710693359375,0,0
fact_000020,negative_control,9.13874626159668,9.073079109191895,-0.06566715240478516,0,0
fact_000021,negative_control,8.03403091430664,7.9700117111206055,-0.06401920318603516,0,0
fact_000022,negative_control,12.383546829223633,12.34907341003418,-0.034473419189453125,0,0
fact_000023,negative_control,16.770559310913086,16.66105842590332,-0.10950088500976562,0,0
fact_000024,negative_control,10.223756790161133,10.250343322753906,0.026586532592773438,0,0
fact_000025,negative_control,10.265777587890625,10.266744613647461,0.0009670257568359375,0,0
fact_000026,negative_control,12.610231399536133,12.588873863220215,-0.02135753631591797,0,0
fact_000027,negative_control,13.732036590576172,13.688863754272461,-0.04317283630371094,0,0
fact_000028,negative_control,21.235069274902344,21.1141357421875,-0.12093353271484375,0,0
fact_000029,negative_control,11.358634948730469,11.293251991271973,-0.0653829574584961,0,0
fact_000030,negative_control,16.64800262451172,16.599124908447266,-0.048877716064453125,0,0
fact_000031,negative_control,20.823850631713867,20.670597076416016,-0.15325355529785156,0,0
fact_000032,negative_control,9.46191120147705,9.47486686706543,0.012955665588378906,0,0
fact_000033,negative_control,12.058537483215332,12.148172378540039,0.08963489532470703,0,0
fact_000034,negative_control,11.150320053100586,11.248258590698242,0.09793853759765625,0,0
fact_000035,negative_control,13.723190307617188,13.743398666381836,0.020208358764648438,0,0
fact_000036,negative_control,13.07644271850586,13.076234817504883,-0.0002079010009765625,0,0
fact_000037,negative_control,9.303279876708984,9.267578125,-0.035701751708984375,0,0
fact_000038,negative_control,14.700469970703125,14.81190299987793,0.11143302917480469,0,0
fact_000039,negative_control,10.305281639099121,10.278430938720703,-0.02685070037841797,0,0
fact_000040,negative_control,14.88776683807373,14.890731811523438,0.0029649734497070312,0,0
fact_000041,negative_control,10.500699996948242,10.484969139099121,-0.015730857849121094,0,0
fact_000042,negative_control,11.763227462768555,11.78976058959961,0.026533126831054688,0,0
fact_000043,negative_control,20.83843231201172,20.4011173248291,-0.4373149871826172,0,0
fact_000044,negative_control,10.985076904296875,11.135981559753418,0.15090465545654297,0,0
fact_000045,negative_control,14.91865348815918,14.935103416442871,0.016449928283691406,0,0
fact_000046,negative_control,13.935565948486328,13.916452407836914,-0.019113540649414062,0,0
fact_000047,negative_control,11.60459041595459,11.622647285461426,0.018056869506835938,0,0
fact_000048,negative_control,13.556194305419922,13.538701057434082,-0.017493247985839844,0,0
fact_000049,negative_control,16.386154174804688,16.41709327697754,0.030939102172851562,0,0
fact_000050,negative_control,12.692964553833008,12.945060729980469,0.25209617614746094,0,0
fact_000051,negative_control,10.623239517211914,10.655097007751465,0.03185749053955078,0,0
fact_000052,negative_control,11.921777725219727,11.965225219726562,0.04344749450683594,0,0
fact_000053,negative_control,24.04212188720703,24.06391143798828,0.02178955078125,0,0
fact_000054,negative_control,11.045225143432617,11.031518936157227,-0.013706207275390625,0,0
fact_000055,negative_control,15.405144691467285,15.267848014831543,-0.1372966766357422,0,0
fact_000056,negative_control,20.907459259033203,20.623207092285156,-0.2842521667480469,0,0
fact_000057,negative_control,13.674970626831055,13.65960693359375,-0.015363693237304688,0,0
fact_000058,negative_control,11.164356231689453,11.148953437805176,-0.015402793884277344,0,0
fact_000059,negative_control,13.500476837158203,13.457365989685059,-0.04311084747314453,0,0
fact_000060,negative_control,10.415374755859375,10.394739151000977,-0.020635604858398438,0,0
fact_000061,negative_control,10.10609245300293,10.144010543823242,0.0379180908203125,0,0
fact_000062,negative_control,13.179133415222168,13.18614387512207,0.007010459899902344,0,0
fact_000063,negative_control,17.573200225830078,17.58432388305664,0.0111236572265625,0,0
fact_000064,negative_control,19.559019088745117,19.557716369628906,-0.0013027191162109375,0,0
fact_000065,negative_control,13.101222038269043,13.122173309326172,0.020951271057128906,0,0
fact_000066,negative_control,14.929882049560547,14.964853286743164,0.03497123718261719,0,0
fact_000067,negative_control,10.594624519348145,10.433174133300781,-0.16145038604736328,0,0
fact_000068,negative_control,10.834649085998535,10.849353790283203,0.014704704284667969,0,0
fact_000069,negative_control,10.33218765258789,10.376041412353516,0.043853759765625,0,0
fact_000070,negative_control,11.229029655456543,11.264389991760254,0.03536033630371094,0,0
fact_000071,negative_control,11.786121368408203,11.802003860473633,0.015882492065429688,0,0
fact_000072,negative_control,12.463615417480469,12.36867904663086,-0.09493637084960938,0,0
fact_000073,negative_control,13.71026611328125,13.776762962341309,0.0664968490600586,0,0
fact_000074,negative_control,13.461791038513184,13.429129600524902,-0.03266143798828125,0,0
fact_000075,negative_control,15.372806549072266,15.421621322631836,0.04881477355957031,0,0
fact_000076,negative_control,15.5792875289917,15.439598083496094,-0.13968944549560547,0,0
fact_000077,negative_control,9.6957426071167,9.700898170471191,0.0051555633544921875,0,0
fact_000078,negative_control,12.900420188903809,12.963747024536133,0.06332683563232422,0,0
fact_000079,negative_control,12.270543098449707,12.362232208251953,0.0916891098022461,0,0
fact_000080,negative_control,10.842232704162598,10.718368530273438,-0.12386417388916016,0,0
fact_000081,negative_control,10.657071113586426,10.596189498901367,-0.060881614685058594,0,0
fact_000082,negative_control,11.999731063842773,11.98780632019043,-0.01192474365234375,0,0
fact_000083,negative_control,12.461161613464355,12.479021072387695,0.017859458923339844,0,0
fact_000084,negative_control,11.257360458374023,11.284418106079102,0.027057647705078125,0,0
fact_000085,negative_control,16.024904251098633,15.755348205566406,-0.26955604553222656,0,0
fact_000086,negative_control,16.784013748168945,16.436908721923828,-0.3471050262451172,0,0
fact_000087,negative_control,13.35688304901123,13.299638748168945,-0.057244300842285156,0,0
fact_000088,negative_control,14.0728759765625,14.068503379821777,-0.004372596740722656,0,0
fact_000089,negative_control,16.07281494140625,16.261518478393555,0.1887035369873047,0,0
fact_000090,negative_control,10.649709701538086,10.531779289245605,-0.11793041229248047,0,0
fact_000091,negative_control,10.914141654968262,10.98781681060791,0.07367515563964844,0,0
fact_000092,negative_control,10.334449768066406,10.449888229370117,0.11543846130371094,0,0
fact_000093,negative_control,16.52269744873047,16.574626922607422,0.051929473876953125,0,0
fact_000094,negative_control,12.808389663696289,12.93235969543457,0.12397003173828125,0,0
fact_000095,negative_control,11.324814796447754,11.329947471618652,0.0051326751708984375,0,0
fact_000096,negative_control,13.041572570800781,12.98892593383789,-0.052646636962890625,0,0
fact_000097,negative_control,9.650921821594238,9.576263427734375,-0.07465839385986328,0,0
fact_000098,negative_control,13.361624717712402,13.40995979309082,0.04833507537841797,0,0
fact_000099,negative_control,11.47079849243164,11.454797744750977,-0.016000747680664062,0,0
fact_000100,negative_control,10.419266700744629,10.46894645690918,0.04967975616455078,0,0
fact_000101,negative_control,13.872221946716309,13.989751815795898,0.11752986907958984,0,0
fact_000102,negative_control,11.134602546691895,11.304805755615234,0.17020320892333984,0,0
fact_000103,negative_control,13.109750747680664,13.171218872070312,0.06146812438964844,0,0
fact_000104,negative_control,11.13851547241211,11.11670970916748,-0.021805763244628906,0,0
fact_000105,negative_control,10.010847091674805,10.062127113342285,0.05128002166748047,0,0
fact_000106,negative_control,14.433013916015625,14.427249908447266,-0.005764007568359375,0,0
fact_000107,negative_control,10.468538284301758,10.559001922607422,0.09046363830566406,0,0
fact_000108,negative_control,11.94774055480957,11.927375793457031,-0.020364761352539062,0,0
fact_000109,negative_control,15.888952255249023,15.810749053955078,-0.07820320129394531,0,0
