batch,row,global_count,global_nll,repeat_ngram_count,repeat_ngram_nll,entity_proxy_count,entity_proxy_nll
0,0,2048,2.764591932296753,345,1.0898842631906702,160,3.786225509643555
1,0,2048,3.434194803237915,251,0.9992161481029009,398,5.460992094260364
2,0,2048,2.7846219539642334,434,1.0832847208471341,312,4.078817905523838
3,0,2048,2.0983643531799316,737,0.6847802502491096,292,3.1652627187232447
4,0,2048,2.2944116592407227,526,0.47198921464695226,204,3.8414683622472428
5,0,2048,3.036163806915283,383,1.336248412767216,158,4.298555011990704
6,0,2048,2.8172271251678467,362,1.3205660825276244,192,4.707621256510417
7,0,2048,2.872795820236206,360,1.1804672241210938,200,4.935751953125
8,0,2048,2.5958786010742188,367,1.2027513883419192,197,3.833714519055362
9,0,2048,2.7453155517578125,487,1.1885206782597535,127,4.401467150590551
10,0,2048,2.3618052005767822,249,1.0100273530646022,117,4.672115488948985
11,0,2048,2.8909177780151367,258,1.2342919637990553,176,3.962874325838956
12,0,2048,2.3298025131225586,401,0.9962985450192877,202,3.3573276028774752
13,0,2048,2.801067352294922,267,1.2352468654904025,132,4.5822467225970644
14,0,2048,3.0773990154266357,386,1.5375097403254534,201,3.750048585199005
15,0,2048,2.8918349742889404,239,1.1660724464320738,196,4.761127082669005
