seed,pair,arm,step,tokens_seen,loss,aux_loss,lr,tokens_per_s,mfu
1337,pair1,A,1,3932160,12.038254737854004,1.4819773435592651,1.4851485148514851e-05,1730142.4305367093,0.062308207721740005
1337,pair1,A,2,7864320,11.988819122314453,1.4806239604949951,2.9702970297029702e-05,2084686.0106932486,0.07507650624381612
1337,pair1,A,3,11796480,11.751970291137695,1.4977883100509644,4.455445544554456e-05,2657143.062362653,0.09569259672148117
1337,pair1,A,4,15728640,11.33269214630127,1.6204280853271484,5.9405940594059404e-05,2648811.5954229403,0.09539255276929313
1337,pair1,A,5,19660800,10.819720268249512,1.9556419849395752,7.425742574257426e-05,2655559.2043180214,0.09563555670309608
1337,pair1,A,6,23592960,10.36094856262207,2.374095916748047,8.910891089108912e-05,2642540.5704622767,0.09516671221479264
1337,pair1,A,7,27525120,10.18447208404541,2.3695578575134277,0.00010396039603960397,2651186.252306351,0.09547807209518673
1337,pair1,A,8,31457280,9.981141090393066,2.2505083084106445,0.00011881188118811881,2643525.7691773204,0.09520219251115478
1337,pair1,A,9,35389440,9.799939155578613,2.0694217681884766,0.00013366336633663367,2649930.9051605505,0.0954328628515182
1337,pair1,A,10,39321600,9.660781860351562,1.8688304424285889,0.0001485148514851485,2663645.8407817995,0.09592678349209458
1337,pair1,A,11,43253760,9.503277778625488,1.7422420978546143,0.00016336633663366338,2669570.682643725,0.09614015683693347
1337,pair1,A,12,47185920,9.287503242492676,1.6517174243927002,0.00017821782178217824,2659615.0322157936,0.09578162061244694
1337,pair1,A,13,51118080,9.1071138381958,1.57670259475708,0.00019306930693069308,2657283.9126406107,0.09569766921044032
1337,pair1,A,14,55050240,8.864924430847168,1.5131092071533203,0.00020792079207920794,2668940.3867119,0.09611745777519545
1337,pair1,A,15,58982400,8.699243545532227,1.491986632347107,0.00022277227722772275,2673854.112080683,0.09629441743791567
1337,pair1,A,16,62914560,8.537619590759277,1.488966941833496,0.00023762376237623762,2677619.544953173,0.0964300232524662
1337,pair1,A,17,66846720,8.28464126586914,1.5213381052017212,0.0002524752475247525,2665041.6830636836,0.09597705243487718
1337,pair1,A,18,70778880,8.141464233398438,1.561971664428711,0.00026732673267326735,2687405.885432418,0.09678246206019334
1337,pair1,A,19,74711040,8.060304641723633,1.635382890701294,0.0002821782178217822,2678871.245419532,0.0964751011670279
1337,pair1,A,20,78643200,7.965967178344727,1.7280781269073486,0.000297029702970297,2669210.785656508,0.09612719574434239
1337,pair1,A,21,82575360,7.83206844329834,1.8855407238006592,0.0003118811881188119,2650309.471341768,0.09544649628414165
1337,pair1,A,22,86507520,7.877722263336182,1.951343297958374,0.00032673267326732675,2657504.422543327,0.0957056105085558
1337,pair1,A,23,90439680,7.789789199829102,2.07965087890625,0.0003415841584158416,2664913.3577666315,0.09597243101231477
1337,pair1,A,24,94371840,7.823364734649658,2.1878747940063477,0.0003564356435643565,2672018.65356958,0.09622831644636957
1337,pair1,A,25,98304000,7.855307102203369,2.3749825954437256,0.0003712871287128713,2670170.5825743037,0.09616176123714182
1337,pair1,A,26,102236160,7.776473045349121,2.4295597076416016,0.00038613861386138616,2659300.6926024416,0.09577030019305359
1337,pair1,A,27,106168320,7.804181098937988,2.3579492568969727,0.000400990099009901,2672523.9437528984,0.09624651363357584
1337,pair1,A,28,110100480,7.706790924072266,2.296407699584961,0.0004158415841584159,2671348.2592468895,0.09620417330764504
1337,pair1,A,29,114032640,7.790388107299805,2.358654737472534,0.00043069306930693075,2671640.78505316,0.09621470813898571
1337,pair1,A,30,117964800,7.649783611297607,2.3850014209747314,0.0004455445544554455,2687373.481186059,0.09678129507504947
1337,pair1,A,31,121896960,7.745756149291992,2.1293652057647705,0.00046039603960396037,2678816.420973437,0.09647312675560649
1337,pair1,A,32,125829120,7.56475830078125,2.193755626678467,0.00047524752475247524,2686511.9900388755,0.09675026990139801
1337,pair1,A,33,129761280,7.718902111053467,2.3095104694366455,0.0004900990099009901,2690197.771141909,0.09688300718968788
1337,pair1,A,34,133693440,7.535567283630371,2.4231786727905273,0.000504950495049505,2669498.5226486973,0.09613755811449304
1337,pair1,A,35,137625600,7.530176162719727,2.3147361278533936,0.0005198019801980198,2674822.0236993944,0.09632927516819875
1337,pair1,A,36,141557760,7.486082077026367,2.2315449714660645,0.0005346534653465347,2674352.72456623,0.0963123741389212
1337,pair1,A,37,145489920,7.484692573547363,2.20994234085083,0.0005495049504950496,2677477.4000309426,0.0964249041390426
1337,pair1,A,38,149422080,7.4470038414001465,2.217226505279541,0.0005643564356435644,2681973.3483113544,0.09658681825340554
1337,pair1,A,39,153354240,7.4505157470703125,2.211724281311035,0.0005792079207920793,2679435.284282762,0.09649541409042252
1337,pair1,A,40,157286400,7.317648410797119,2.235198736190796,0.000594059405940594,2687779.466484881,0.09679591596167968
