idx,id,normal_nll,knockout_nll,delta_knockout_minus_normal,normal_tokens,knockout_tokens,normal_answer,knockout_answer
0,4222362,8.407691955566406,8.504793167114258,0.09710121154785156,2,2,political leader,political leader
1,4725190,10.424484252929688,10.393281936645508,-0.031202316284179688,2,2,journo,journo
2,4382392,8.777585983276367,8.882478713989258,0.10489273071289062,2,2,political leader,political leader
3,4822110,11.51517105102539,11.514764785766602,-0.0004062652587890625,2,2,political leader,political figure
4,4011112,8.30507755279541,8.376805305480957,0.07172775268554688,2,2,cartoonist,cartoonist
5,1730929,15.424763679504395,15.211663246154785,-0.21310043334960938,1,1,economist,economist
6,276787,8.849214553833008,8.874777793884277,0.02556324005126953,2,2,band manager,band manager
7,1758574,10.27475643157959,10.330366134643555,0.055609703063964844,2,2,political leader,political leader
8,6339290,9.414785385131836,9.757883071899414,0.3430976867675781,2,2,political figure,political figure
9,6250781,9.251350402832031,9.405296325683594,0.1539459228515625,2,2,actresses,actresses
10,1223902,10.439983367919922,10.34380054473877,-0.09618282318115234,2,2,journo,journo
11,4607081,10.173332214355469,10.511833190917969,0.3385009765625,2,2,actresses,actresses
12,596555,6.518781661987305,6.236913681030273,-0.28186798095703125,3,3,motion picture director,motion picture director
13,3994636,9.000404357910156,8.978116989135742,-0.022287368774414062,2,2,political leader,political leader
14,394743,8.669351577758789,8.450824737548828,-0.21852684020996094,2,2,actresses,actresses
15,4650739,10.206426620483398,10.181001663208008,-0.025424957275390625,2,2,political leader,political leader
16,1085496,7.599868297576904,7.678822040557861,0.07895374298095703,2,2,dramatist,dramatist
17,4711830,9.847949028015137,9.911861419677734,0.06391239166259766,2,2,political leader,political leader
18,783368,9.70140552520752,9.654273986816406,-0.04713153839111328,2,2,political leader,political leader
19,2693461,8.367788314819336,8.153900146484375,-0.21388816833496094,2,2,sitter,sitter
20,4419938,10.272929191589355,10.511090278625488,0.2381610870361328,2,2,political leader,political leader
21,3696050,10.057722091674805,10.32371711730957,0.2659950256347656,2,2,political leader,political leader
22,4651204,8.704119682312012,8.553979873657227,-0.15013980865478516,2,2,actresses,actresses
23,2605479,8.660438537597656,8.759571075439453,0.09913253784179688,2,2,actresses,actresses
24,839130,6.465371608734131,6.4791340827941895,0.013762474060058594,3,3,barrister,barrister
25,5383283,10.16397762298584,10.15083122253418,-0.013146400451660156,2,2,actresses,actresses
26,4087826,8.599236488342285,8.1775541305542,-0.42168235778808594,2,2,business man,business man
27,3635613,9.209491729736328,9.251045227050781,0.041553497314453125,2,2,actresses,actresses
28,5982132,9.48314380645752,9.670670509338379,0.18752670288085938,2,2,test pilot,test pilot
29,3261572,6.035634517669678,6.017557144165039,-0.018077373504638672,3,3,barrister,barrister
30,857817,9.234692573547363,9.313617706298828,0.07892513275146484,2,2,song writer,song writer
31,6206947,10.564799308776855,10.494213104248047,-0.0705862045288086,2,2,music producer,music producer
32,2657379,11.067325592041016,11.044170379638672,-0.02315521240234375,2,2,journo,journo
33,3835721,7.842328071594238,7.690182685852051,-0.1521453857421875,2,2,manga artist,manga artist
34,4198902,5.735978126525879,5.774735927581787,0.0387578010559082,4,4,gastronomist,gastronomist
35,3583128,12.296839714050293,12.224922180175781,-0.07191753387451172,1,1,composer,composer
36,5807710,10.522088050842285,10.532899856567383,0.010811805725097656,2,2,political leader,political leader
37,4172941,14.610355377197266,14.59466552734375,-0.015689849853515625,1,1,architect,architect
38,2303897,9.957377433776855,9.996438980102539,0.039061546325683594,2,2,actresses,actresses
39,3121959,17.117265701293945,17.315011978149414,0.19774627685546875,1,1,astronomer,astronomer
40,5120341,9.280657768249512,9.23915958404541,-0.04149818420410156,2,2,dental surgeon,dental surgeon
41,3931528,8.640673637390137,8.899835586547852,0.25916194915771484,2,2,jockey,jockey
42,3174290,6.9295525550842285,6.961912631988525,0.032360076904296875,2,2,medical doctor,medical doctor
43,1917994,9.510708808898926,9.71021556854248,0.1995067596435547,2,2,actresses,actresses
44,2224150,10.376070976257324,10.415406227111816,0.03933525085449219,2,2,musical artist,musical artist
45,1536600,9.048215866088867,9.258604049682617,0.21038818359375,2,2,actresses,actresses
46,2218017,15.45465087890625,15.534891128540039,0.08024024963378906,1,1,architect,architect
47,5394168,10.621793746948242,10.60478401184082,-0.017009735107421875,2,2,actresses,actresses
48,6539068,10.158500671386719,10.218648910522461,0.06014823913574219,2,2,political leader,political leader
49,1772720,14.14934253692627,14.094837188720703,-0.054505348205566406,1,1,pianist,composer
50,3553522,9.093070983886719,9.134340286254883,0.04126930236816406,2,2,journo,journo
51,970059,9.70747184753418,9.709327697753906,0.0018558502197265625,2,2,actresses,actresses
52,2092231,9.600370407104492,9.55185317993164,-0.04851722717285156,2,2,actresses,actresses
53,2360504,7.618110656738281,7.789936065673828,0.17182540893554688,2,2,guitar player,guitar player
54,6416076,5.969618797302246,6.045409202575684,0.0757904052734375,2,2,Christian missionary,Christian missionary
55,130213,10.158560752868652,10.131657600402832,-0.026903152465820312,2,2,political leader,political leader
56,2311611,9.023082733154297,8.831997871398926,-0.1910848617553711,2,2,song writer,song writer
57,3901091,4.028806209564209,3.9935848712921143,-0.03522133827209473,5,5,barrister-at-law,barrister-at-law
58,837389,14.28544807434082,14.161373138427734,-0.12407493591308594,1,1,surgeon,surgeon
59,2523400,9.597393035888672,9.623472213745117,0.026079177856445312,2,2,polit.,polit.
60,3275327,10.26542854309082,10.197257995605469,-0.06817054748535156,2,2,political leader,political leader
61,1976296,9.557700157165527,9.481632232666016,-0.07606792449951172,2,2,poetess,poetess
62,5052828,10.769067764282227,10.890239715576172,0.12117195129394531,2,2,journo,journo
63,5304362,9.797765731811523,9.872611999511719,0.07484626770019531,2,2,political leader,political leader
64,6110369,6.314657211303711,6.302069187164307,-0.012588024139404297,4,4,head-shrinker,head-shrinker
65,6055820,14.083841323852539,13.833698272705078,-0.25014305114746094,1,1,composer,composer
66,6384726,8.111937522888184,8.3887300491333,0.2767925262451172,2,2,chemists,chemists
67,4251288,16.03963851928711,15.991308212280273,-0.04833030700683594,1,1,philosopher,philosopher
68,1872067,10.323810577392578,10.260435104370117,-0.06337547302246094,2,2,political leader,political leader
69,1905981,7.136033535003662,7.196694850921631,0.06066131591796875,3,3,motion picture director,motion picture director
70,4973369,11.171873092651367,11.165494918823242,-0.006378173828125,2,2,journo,journo
71,5582866,13.292998313903809,13.71286392211914,0.41986560821533203,1,1,economist,economist
72,3154588,9.596076965332031,9.836588859558105,0.24051189422607422,2,2,actresses,actresses
73,1094065,10.645320892333984,10.449607849121094,-0.19571304321289062,2,2,journo,journo
74,3780672,9.767050743103027,9.72853946685791,-0.03851127624511719,2,2,actresses,actresses
75,6430975,3.878084182739258,3.9149880409240723,0.03690385818481445,4,4,singer/songwriter,singer/songwriter
76,4244332,10.1614990234375,10.199853897094727,0.03835487365722656,2,2,actresses,actresses
77,1805806,13.223730087280273,13.099376678466797,-0.12435340881347656,1,1,composer,composer
78,900521,9.856230735778809,9.924806594848633,0.06857585906982422,2,2,political leader,political leader
79,1044970,9.737798690795898,9.749908447265625,0.012109756469726562,2,2,political leader,political leader
80,6042978,9.485907554626465,9.600854873657227,0.11494731903076172,2,2,actresses,actresses
81,4062418,9.768304824829102,9.7574462890625,-0.010858535766601562,2,2,political leader,political leader
82,6135583,6.938598155975342,6.89991569519043,-0.03868246078491211,3,3,racehorse trainer,racehorse trainer
83,177542,9.68017578125,9.723251342773438,0.0430755615234375,2,2,journo,journo
84,5571000,4.93353796005249,4.9000372886657715,-0.03350067138671875,3,3,seafarer,seafarer
85,5651252,9.803488731384277,9.896234512329102,0.09274578094482422,2,2,political leader,political leader
86,4265255,9.335236549377441,9.255480766296387,-0.07975578308105469,2,2,political leader,political leader
87,4674890,7.5772857666015625,7.513033390045166,-0.06425237655639648,3,3,radio jockey,radio jockey
88,3111664,9.439743041992188,9.55314826965332,0.11340522766113281,2,2,theatrical director,theatrical director
89,1505982,7.760014057159424,8.056111335754395,0.2960972785949707,2,2,dramatist,dramatist
90,371747,10.836005210876465,11.003355979919434,0.16735076904296875,2,2,political leader,political leader
91,3882000,9.40450382232666,9.385578155517578,-0.01892566680908203,2,2,political leader,political leader
92,1056532,9.780879974365234,9.744062423706055,-0.03681755065917969,2,2,music producer,music producer
93,843797,9.583274841308594,9.29408073425293,-0.28919410705566406,2,2,photog,photog
94,5178335,10.881665229797363,10.861618995666504,-0.020046234130859375,2,2,journo,journo
95,1901465,9.320794105529785,9.522043228149414,0.2012491226196289,2,2,screenwriter,screenwriter
96,5254909,10.42851448059082,10.480228424072266,0.05171394348144531,2,2,actresses,actresses
97,1701577,6.58315896987915,6.570037841796875,-0.01312112808227539,3,3,insurrectionist,insurrectionist
98,2951170,9.930445671081543,9.996417999267578,0.06597232818603516,2,2,poetess,poetess
99,5586772,12.507015228271484,12.454145431518555,-0.05286979675292969,1,1,composer,composer
100,584816,10.371539115905762,10.292276382446289,-0.07926273345947266,2,2,political leader,political leader
101,257764,9.203441619873047,9.370430946350098,0.16698932647705078,2,2,political leader,political leader
102,3116649,14.094319343566895,14.319890022277832,0.2255706787109375,1,1,diplomat,diplomat
103,2043042,9.634836196899414,9.597612380981445,-0.03722381591796875,2,2,actresses,actresses
104,2171332,10.768845558166504,10.869601249694824,0.10075569152832031,2,2,political leader,political leader
105,2062111,9.810983657836914,9.778820991516113,-0.03216266632080078,2,2,dramatist,dramatist
106,6392317,5.4660868644714355,5.363424777984619,-0.1026620864868164,4,4,Playboy Playmate,Playboy Playmate
107,3930846,9.888455390930176,9.979774475097656,0.09131908416748047,2,2,political leader,political leader
108,4817052,16.659626007080078,16.86362648010254,0.20400047302246094,1,1,mathematician,mathematician
109,2139096,9.217916488647461,9.105599403381348,-0.11231708526611328,2,2,actresses,actresses
110,1479687,7.9697980880737305,8.073660850524902,0.10386276245117188,2,2,dramatist,dramatist
111,2428794,11.38580322265625,11.591532707214355,0.20572948455810547,2,2,political leader,political figure
112,6490517,8.985332489013672,9.321866035461426,0.3365335464477539,2,2,organist,organist
113,743705,12.562179565429688,12.628244400024414,0.06606483459472656,1,1,mathematician,mathematician
114,2861972,7.771392345428467,7.897509574890137,0.12611722946166992,2,2,medical doctor,medical doctor
