idx,id,normal_pred,knockout_pred,normal_em,knockout_em,answers
0,tc_69,The song was released in 1993 and was released in 1994.,The song was released in 1993 and was released in 1994.,0,0,Bond 13|General Orlov|Jim Fanning (James Bond)|Kamal Khan|Kamal kahn
1,tc_79,Banish................................................................：What was the last US state to reintroduce alcohol?,The first US state to adopt prohibition on alcohol was California in 1972.,0,0,45th State|45th state|Beehive State|Climate of Utah|Education in Utah
2,tc_106,Banish................................................................Question: Who was the first woman to win the Nobel Prize in,The Beatles were a group of musicians who were part of the Beatles. They were,0,0,Bacall|Betty J. Perske|Betty Joan Perske|Betty Joan Perski|Betty Perske
3,tc_133,The Japanese share index is 0.000000000000000000000000,The Japanese share index is 0.000000000000000000000000,0,0,Nikkei|Nikkei (disambiguation)|nikkei|nikkei disambiguation
4,tc_137,"The name of the film-maker, David Seville, was written in 198",The name of the singer was Michael Jackson. He was born in 1920,0,0,Lunar walk|Lunar walking|Lunar walks|Moon Walk|Moon walk
5,tc_149,The Beatles were the first to record in the US on 10th December,The Beatles were the first to record in the US on 10th December,0,0,%6030s|'30s|1930 1939|1930 s|1930's
6,tc_165,The first Olympic Games were held in 1966. The first Olympic Games were,The first Olympic Games were held in 1966. The first Olympic Games were,0,0,"In 1912, in Stockholm|in 1912 in stockholm"
7,tc_217,The Mount Kenya volcano is the highest in the world. Mount Kenya is the highest,The Mount Kenya is the highest mountain in Africa. It is located in the Eastern,0,0,Gilman's Point|Highest mountain in Africa|Kaiser-Wilhelm-Spitze|Kibo (volcano)|Kilamanjaro
8,tc_219,The flag of Libya is a plain rectangle of which color?,The flag of Libya is a plain rectangle of which color?,0,0,"(0, 255, 0)|0 255 0|Avacado (color)|Green|Green (color)"
9,tc_241,The first African woman to win a Grammy Award in 1993 was the singer,The first African woman to win a Grammy Award in 1993 was the singer,0,0,ISO 3166-1:NE|NG-NI|Niger|Niger (country)|Niger Republic
10,tc_245,The CIA was a CIA intelligence agency. The CIA was a CIA intelligence agency.,The CIA was a CIA intelligence agency. It was created in 1976.,0,0,"Bush, George|G Bush|Georg bush|George Bush|George Bush (disambiguation)"
11,tc_261,The song The Street Where You Live,The song was released in 1993 and has been used in the UK since,0,0,Enry Iggins|I'm an Ordinary Man|My Fair Lady|My Fair Lady (2010 film)|My Fair Lady (2012 film)
12,tc_267,Banish的是Question: Who was the first woman to win the Nobel Prize?,Banish的是Question: Who was the first British Prime Minister after Arthur Balf,0,0,Adlof hitler|Adoff Hitler|Adolf HItler|Adolf Hiedler|Adolf Hiler
13,tc_276,Banish的是Question: Who was the first British Prime Minister after Arthur Balf,The Beatles were a group of artists who were involved in the 1960s,0,0,Richard Marx|Richard Noel Marx|richard marx|richard noel marx
14,tc_280,The 1960s were a time of great change for the music industry.,The 1960s were a time of great change for the music industry.,0,0,"Argosy Pictures|Cavalry trilogy|Ford, John|Ford, John (1895-1973)|John Ford"
15,tc_282,Banish的是Question: Who was the first British Prime Minister after Arthur Balf,The Beatles were in the top 100 hits with 1 hit with 1,0,0,Clive Metcalfe|Grey Floyd|Meggadeaths|Notable or frequent contributors to Pink Floyd|Notable or frequent contributors to pink floyd
16,tc_288,Banish的是Question: Who was the first British Prime Minister after Arthur Balf,Banish的是Question: Who was the first British Prime Minister after Arthur Balf,0,0,61|sixty one|sixty-one
17,tc_298,"The 1984 LA Olympics were held in London, England, in 198",The 1984 LA Olympics were the first to be held in the US.,0,0,Austro-Hungarian Empire (Romania)|Carpathian Danubian space|Country ROM|Danubian-Carpathian Area|Etymology of Romania
18,tc_304,Banish的是Question: Who was the first British Prime Minister after Arthur Balf,Banish的是Question: Who was the first British Prime Minister after Arthur Balf,0,0,Wild Palms|wild palms
19,tc_316,Banish................................................................Question: Who was the first woman to win the Nobel Prize?,Banish................................................................Question: Who was the first British Prime Minister after Arthur Balf,0,0,2 life|Anatevka|Fiddler On The Roof|Fiddler On the Roof|Fiddler on a Roof
20,tc_349,The first was a 1960s film directed by James Earl Jones. The,The first was a 1960s film directed by James Earl Jones. The,0,0,Bounty (vessel)|HMS Bounty mutineers|Mutiny On The Bounty|Mutiny on Bounty|Mutiny on the Bounty
21,tc_379,Banish................................................................：What was the name of the singer?,Banish................................................................：What was the name of the singer?,0,0,A person|Person|Person (philosophical)|Personhood Theory|Personhood theory
22,tc_397,"The snark turns into a snark, and the snark turns into a","The snark turns into a snark, and the snark turns into a",0,0,A boojum|Boojum|Boojum (disambiguation)|boojum|boojum disambiguation
23,tc_453,The Bible says that the sun is the centre of the universe. The sun is,The Bible says that the sun is the centre of the universe. The sun is,0,0,Ieshua|Jehoshua|Jehoshuah|Jesus Navin|Joshua
24,tc_455,"The Beatles' song ""The Last Straw Man"" was released on 10th","The Beatles' song ""The Last Straw Man"" was released on 10th",0,0,Dangerous Minds|Dangerous Minds (film)|My Posse Don't Do Homework|dangerous minds|dangerous minds film
