idx,id,normal_pred,knockout_pred,normal_em,knockout_em,answers
0,1730929,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,0,0,mathematician|economist|economists
1,276787,journalist::::::::Question: What is the name of the author of the book?,journalist::::::::Question: What is the name of the author of the book?,0,0,talent manager|artist manager|band manager|music manager|musician manager
2,1758574,journalist －Question: What is the name of the author of the novel?,journalist －Question: What is the name of the author of the book?,0,0,politician|political leader|political figure|polit.|pol
3,6339290,politician是Question: What is the name of the first Earl of Mansfield's occupation,politician是Question: What is the name of the first Earl of Mansfield's occupation,0,0,politician|political leader|political figure|polit.|pol
4,6250781,politician女Question: What is the name of the person who is the president of,politician女Question: What is the name of the author of the book?,0,0,actor|actress|actors|actresses
5,1223902,journalistprochenquestionnaireQuestion: What is the name of the author?,journalistprocheneQuestion: What is the name of the author of the book?,0,0,journalist|journo|journalists
6,4607081,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,actor|actress|actors|actresses
7,596555,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,film director|movie director|director|motion picture director|film producer
8,3994636,cartoonist的Question: What is the name of the author of the book?,cartoonist的Question: What is the name of the author of the book?,0,0,politician|political leader|political figure|polit.|pol
9,394743,cartoonist的Question: What is the name of the author of the book?,cartoonist的Question: What is the name of the author of the book?,0,0,actor|actress|actors|actresses
10,4650739,"journalist －Question: What is the name of the author of the novel ""The","journalistprochenQuestion: What is the name of the author of the book ""The",0,0,politician|political leader|political figure|polit.|pol
11,1085496,journalistprochenquestionnaireQuestion: What is the name of the author of the book,writer －Question: What is the name of the author of the book?,0,0,journalist|journo|journalists|playwright|dramatist
12,4711830,journalist －Question: What is John Finlay's occupation?,journalist －Question: What is John Finlay's occupation?,0,0,politician|political leader|political figure|polit.|pol
13,783368,politician是Question: What is John Floyd's occupation?,politician是Question: What is John Floyd's occupation?,0,0,politician|political leader|political figure|polit.|pol
14,2693461,"journalist女Question: What is the name of the author of the book ""The","journalist女Question: What is the name of the author of the book ""The",0,0,actor|actress|actors|actresses|model
15,4419938,journalistprochenQuestion: What is the name of the author of the book?,"journalistprochenQuestion: What is the name of the author of the book ""The",0,0,economist|economists|politician|political leader|political figure
16,3696050,politician是Question: What is the name of the 2nd Baron O'H,politician是Question: What is the name of the 2nd Baron O'H,0,0,politician|political leader|political figure|polit.|pol
17,4651204,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,actor|actress|actors|actresses
18,2605479,journalistprochenQuestion: What is the name of the author of the book?,journalistprochenQuestion: What is the name of the author of the book?,0,0,actor|actress|actors|actresses
