idx,id,normal_nll,knockout_nll,delta_knockout_minus_normal,normal_tokens,knockout_tokens,normal_answer,knockout_answer
0,tc_2,7.794699668884277,7.783262252807617,-0.011437416076660156,4,4,david seville,david seville
1,tc_33,8.054156303405762,7.999690532684326,-0.05446577072143555,3,3,Sunset Blvd.,Sunset Blvd.
2,tc_40,3.663501024246216,3.6648616790771484,0.0013606548309326172,6,6,Sir Henry Campbell-Bannerman,Sir Henry Campbell-Bannerman
3,tc_49,5.159156799316406,5.152067184448242,-0.0070896148681640625,3,3,Banishment,Banishment
4,tc_56,4.323418140411377,4.341640472412109,0.018222332000732422,6,6,Invasive (cancer),Invasive (cancer)
5,tc_69,4.712177276611328,4.695481777191162,-0.016695499420166016,6,6,Magda (James Bond),Magda (James Bond)
6,tc_79,3.461515188217163,3.4437544345855713,-0.017760753631591797,7,7,Utah (U.S. state),Utah (U.S. state)
7,tc_106,5.912397384643555,5.884346961975098,-0.02805042266845703,5,5,Betty J. Perske,Betty J. Perske
8,tc_133,4.305769443511963,4.3118720054626465,0.006102561950683594,6,6,Nikkei (disambiguation),Nikkei (disambiguation)
9,tc_137,4.846410751342773,4.812065124511719,-0.03434562683105469,4,4,Walk on the moon,Walk on the moon
10,tc_149,2.4301295280456543,2.4298579692840576,-0.0002715587615966797,4,4,1930s,1930s
11,tc_165,3.0708611011505127,3.0706138610839844,-0.0002472400665283203,7,7,"In 1912, in Stockholm","In 1912, in Stockholm"
12,tc_217,1.1248425245285034,1.118889570236206,-0.005952954292297363,6,6,Mt. Kilimanjaro,Mt. Kilimanjaro
13,tc_219,2.726374387741089,2.7213733196258545,-0.005001068115234375,9,9,"(0, 255, 0)","(0, 255, 0)"
14,tc_241,2.845593214035034,2.8596503734588623,0.014057159423828125,4,4,The Republic of Niger,The Republic of Niger
15,tc_245,2.94477915763855,2.972500801086426,0.027721643447875977,8,8,George W. Bush (disambiguation),George W. Bush (disambiguation)
16,tc_261,4.2711381912231445,4.254900932312012,-0.016237258911132812,8,8,My Fair Lady (2010 film),My Fair Lady (2010 film)
17,tc_267,3.6168830394744873,3.5855255126953125,-0.031357526779174805,2,2,Hitler's,Hitler's
18,tc_276,9.771787643432617,9.745606422424316,-0.02618122100830078,2,2,Richard Marx,Richard Marx
19,tc_280,2.7444639205932617,2.7476401329040527,0.0031762123107910156,9,9,John Ford (1895-1973),John Ford (1895-1973)
20,tc_282,5.3776984214782715,5.3814568519592285,0.0037584304809570312,3,3,The Pink Floyd,The Pink Floyd
21,tc_288,5.702229022979736,5.754863262176514,0.052634239196777344,2,2,61,61
22,tc_298,2.4494545459747314,2.4445178508758545,-0.004936695098876953,10,10,Austro-Hungarian Empire (Romania),Austro-Hungarian Empire (Romania)
23,tc_304,9.019495964050293,8.975939750671387,-0.04355621337890625,3,3,Wild Palms,Wild Palms
24,tc_316,3.855915069580078,3.8438289165496826,-0.012086153030395508,7,7,The Fiddler on the Roof,The Fiddler on the Roof
25,tc_349,3.5780935287475586,3.5609378814697266,-0.01715564727783203,6,6,Mutiny on the Bounty,Mutiny on the Bounty
26,tc_379,4.918050765991211,4.945186138153076,0.027135372161865234,2,2,A person,A person
27,tc_397,4.9239325523376465,4.9218573570251465,-0.0020751953125,7,7,Boojum (disambiguation),Boojum (disambiguation)
28,tc_453,3.416924476623535,3.3804919719696045,-0.036432504653930664,4,4,Jehoshua,Jehoshua
29,tc_455,5.945878505706787,5.970645904541016,0.024767398834228516,5,5,Dangerous Minds (film),Dangerous Minds (film)
30,tc_510,5.368100643157959,5.3649725914001465,-0.0031280517578125,5,5,Rudolph (disambiguation),Rudolph (disambiguation)
31,tc_515,5.204105854034424,5.1770172119140625,-0.027088642120361328,6,6,Master builder (occupation),Master builder (occupation)
32,tc_517,5.705931663513184,5.702625274658203,-0.0033063888549804688,4,4,Rudolf W. Hess,Rudolf W. Hess
33,tc_518,4.9436774253845215,4.950436115264893,0.006758689880371094,3,3,48 hours,48 hours
34,tc_538,3.7863128185272217,3.8049182891845703,0.018605470657348633,6,6,J. G. Ballard,J. G. Ballard
35,tc_540,2.9000656604766846,2.9284584522247314,0.028392791748046875,3,3,Nippon,Nippon
36,tc_543,3.9553802013397217,3.9320478439331055,-0.02333235740661621,6,6,Rim (basketball),Rim (basketball)
37,tc_559,5.049060821533203,5.047069549560547,-0.00199127197265625,57,57,Medley: Intro Venus / Sugar Sugar / No Reply / I'll Be Back / Drive My Car / Do You Want to Know a Secret / We Can Work It Out / I Should Have Known Better / Nowhere Man / You're Going to Lose That Girl / Stars on 45,Medley: Intro Venus / Sugar Sugar / No Reply / I'll Be Back / Drive My Car / Do You Want to Know a Secret / We Can Work It Out / I Should Have Known Better / Nowhere Man / You're Going to Lose That Girl / Stars on 45
38,tc_561,2.2196474075317383,2.2345879077911377,0.014940500259399414,6,6,"Vancouver, British Columbia, Canada","Vancouver, British Columbia, Canada"
39,tc_564,4.675068378448486,4.659651756286621,-0.015416622161865234,4,4,The Kentuckian,The Kentuckian
40,tc_585,4.48568868637085,4.4891815185546875,0.0034928321838378906,3,3,Undersea,Undersea
41,tc_586,3.224064826965332,3.208777666091919,-0.015287160873413086,6,6,"Coventry, Warwickshire","Coventry, Warwickshire"
42,tc_596,4.535602569580078,4.542110919952393,0.006508350372314453,4,4,The Manticore,The Manticore
43,tc_604,4.373044490814209,4.355411529541016,-0.01763296127319336,6,6,Cyclopes (disambiguation),Cyclopes (disambiguation)
