idx,id,normal_nll,knockout_nll,delta_knockout_minus_normal,normal_tokens,knockout_tokens,normal_answer,knockout_answer
0,4222362,8.482845306396484,8.472155570983887,-0.010689735412597656,2,2,political leader,political leader
1,4725190,12.758999824523926,12.740729331970215,-0.018270492553710938,2,2,journo,journo
2,4382392,7.621365070343018,7.654013156890869,0.03264808654785156,2,2,political leader,political leader
3,4822110,8.485712051391602,8.460196495056152,-0.02551555633544922,2,2,political leader,political leader
4,4011112,9.018339157104492,9.034189224243164,0.015850067138671875,2,2,cartoonist,cartoonist
5,1730929,16.853511810302734,16.86252784729004,0.009016036987304688,1,1,economist,economist
6,276787,10.679978370666504,10.676605224609375,-0.0033731460571289062,2,2,music manager,music manager
7,1758574,8.845659255981445,8.87907600402832,0.033416748046875,2,2,political leader,political leader
8,6339290,8.520621299743652,8.52412223815918,0.0035009384155273438,2,2,political leader,political leader
9,6250781,9.366861343383789,9.384563446044922,0.017702102661132812,2,2,actresses,actresses
10,1223902,11.585648536682129,11.60572338104248,0.020074844360351562,2,2,journo,journo
11,4607081,11.208761215209961,11.213085174560547,0.0043239593505859375,2,2,actresses,actresses
12,596555,8.418097496032715,8.453791618347168,0.035694122314453125,3,3,motion picture director,motion picture director
13,3994636,8.26919174194336,8.31200885772705,0.042817115783691406,2,2,political leader,political leader
14,394743,8.935684204101562,8.98376178741455,0.04807758331298828,2,2,actresses,actresses
15,4650739,8.143071174621582,8.143632888793945,0.0005617141723632812,2,2,political leader,political leader
16,1085496,7.662042617797852,7.647743225097656,-0.014299392700195312,2,2,dramatist,dramatist
17,4711830,8.141899108886719,8.175272941589355,0.03337383270263672,2,2,political leader,political leader
18,783368,7.843920707702637,7.851095676422119,0.007174968719482422,2,2,political leader,political leader
19,2693461,9.26518440246582,9.293876647949219,0.028692245483398438,2,2,actresses,actresses
20,4419938,8.81117057800293,8.830236434936523,0.01906585693359375,2,2,political leader,political leader
21,3696050,8.66910171508789,8.69955825805664,0.03045654296875,2,2,political leader,political leader
22,4651204,9.8072509765625,9.817524909973145,0.010273933410644531,2,2,actresses,actresses
23,2605479,9.926529884338379,9.939926147460938,0.013396263122558594,2,2,actresses,actresses
24,839130,6.145290851593018,6.1308441162109375,-0.014446735382080078,3,3,barrister,barrister
25,5383283,10.027521133422852,10.042228698730469,0.014707565307617188,2,2,actresses,actresses
26,4087826,8.778700828552246,8.855697631835938,0.0769968032836914,2,2,businesswoman,businesswoman
27,3635613,10.357665061950684,10.389106750488281,0.031441688537597656,2,2,actresses,actresses
28,5982132,11.359122276306152,11.27380084991455,-0.08532142639160156,2,2,test pilot,test pilot
29,3261572,5.678341388702393,5.662778377532959,-0.015563011169433594,3,3,barrister,barrister
30,857817,10.334502220153809,10.366999626159668,0.032497406005859375,2,2,song writer,song writer
31,6206947,10.384891510009766,10.399751663208008,0.014860153198242188,2,2,music producer,music producer
32,2657379,11.136161804199219,11.074673652648926,-0.06148815155029297,2,2,journo,journo
33,3835721,9.77354621887207,9.838306427001953,0.06476020812988281,2,2,manga artist,manga artist
34,4198902,6.537100791931152,6.557216644287109,0.02011585235595703,4,4,gastronomist,gastronomist
35,3583128,15.212228775024414,15.256206512451172,0.04397773742675781,1,1,composer,composer
36,5807710,8.927752494812012,8.916742324829102,-0.011010169982910156,2,2,political leader,political leader
37,4172941,14.808894157409668,14.812101364135742,0.0032072067260742188,1,1,architect,architect
38,2303897,10.032652854919434,9.948893547058105,-0.08375930786132812,2,2,actresses,actresses
39,3121959,16.6147518157959,16.540361404418945,-0.07439041137695312,1,1,astronomer,astronomer
40,5120341,8.457610130310059,8.455265045166016,-0.0023450851440429688,2,2,dental surgeon,dental surgeon
41,3931528,10.069318771362305,10.084402084350586,0.01508331298828125,2,2,jockey,jockey
42,3174290,7.448729038238525,7.460275173187256,0.011546134948730469,2,2,medical doctor,medical doctor
43,1917994,9.957250595092773,9.965892791748047,0.008642196655273438,2,2,actresses,actresses
44,2224150,9.990097045898438,9.987371444702148,-0.0027256011962890625,2,2,musical artist,musical artist
45,1536600,8.927353858947754,8.943086624145508,0.015732765197753906,2,2,actresses,actresses
46,2218017,13.768630981445312,13.837035179138184,0.0684041976928711,1,1,architect,architect
47,5394168,10.630803108215332,10.655390739440918,0.024587631225585938,2,2,actresses,actresses
48,6539068,9.48636245727539,9.455310821533203,-0.0310516357421875,2,2,political leader,political leader
49,1772720,14.626412391662598,14.582883834838867,-0.04352855682373047,1,1,composer,composer
50,3553522,10.037678718566895,10.00653076171875,-0.03114795684814453,2,2,journo,journo
51,970059,10.047557830810547,10.03473949432373,-0.012818336486816406,2,2,actresses,actresses
52,2092231,9.776960372924805,9.764283180236816,-0.012677192687988281,2,2,actresses,actresses
53,2360504,9.34393310546875,9.33309555053711,-0.010837554931640625,2,2,guitarists,guitarists
54,6416076,6.534060955047607,6.565051078796387,0.030990123748779297,2,2,Christian missionary,Christian missionary
55,130213,8.95997428894043,8.933430671691895,-0.026543617248535156,2,2,political leader,political leader
